Position,Company,Experience,Salary,Used Technologies,Optional Technologies
Embedded Software Engineer,Fluke Corportaion,mid,13000 18000,"{'C': 'regular', 'C++': 'regular', 'Linux': 'regular', 'SVN': 'regular', 'Yocto': 'nice to have', 'Qt': 'nice to have'}",-
Azure Platform Engineer (AI Department),Procter & Gamble,mid,-,"{'Microsoft Azure': 'advanced', 'Python': 'advanced', 'DevOps': 'regular', 'CI/CD': 'regular', 'GitHub': 'regular'}",-
.NET Developer,UN7,mid,20000 28000,{'.Net': 'advanced'},-
Spec. Projektant Robotyzacji Procesów,Credit Agricole Bank Polska S.A.,mid,-,"{'C#': 'regular', 'VB.Net': 'regular', 'Java': 'regular', 'VBA': 'regular'}",-
HT Functional Consultant with ERP Industry Solutions all levels,Accenture,mid,-,"{'English': 'master', 'ERP': 'advanced', 'Problem Solving': 'advanced', 'Communication Skills': 'advanced', 'Analytical Thinking': 'advanced'}",-
Cloud Access Technology Consultant all levels,Accenture,mid,-,"{'JavaScript': 'master', 'Docker': 'advanced', 'SQL': 'advanced', 'Java/.NET': 'regular', 'DevOps': 'regular', 'IAM/PAM': 'junior', 'Linux': 'nice to have', 'Oracle SQL': 'nice to have'}",-
XR Developer,Accenture,mid,-,"{'C#': 'master', 'Unity': 'master', 'VR Tools': 'advanced', 'CI/CD': 'regular'}",-
Fullstack .NET/Angular Developer,Accenture,senior,-,"{'C#': 'master', '.Net': 'master', 'Angular': 'master', 'Entity Framework': 'advanced', 'SQL': 'advanced', 'JS': 'regular'}",-
Technology M&A Consultant,Accenture,mid,-,"{'Merger&Acquistion': 'advanced', 'Enterprise Architect': 'regular', 'Architecture': 'regular', 'IT Infrastructure': 'regular', 'PM': 'regular', 'Analytics': 'regular', 'CRM/ERP': 'junior', 'Agile': 'junior'}",-
Data Visualization Consultant all levels,Accenture,mid,-,"{'Data': 'regular', 'Power BI': 'regular', 'SQL': 'junior', 'QlikSense': 'junior', 'Tableau': 'junior', 'RPA': 'nice to have', 'SAP': 'nice to have', 'Scala': 'nice to have', 'Java': 'nice to have', 'Python': 'nice to have'}",-
Data Transformation Consultant,Accenture,mid,13000 25000,"{'SQL': 'advanced', 'Python': 'advanced', 'PySpark': 'advanced', 'Apache Spark': 'regular', 'Databricks': 'regular', 'Palantir Foundry': 'regular', 'JIRA': 'junior', 'Confluence': 'junior', 'Git': 'junior', 'Docker': 'junior'}",-
Women in IT- Cloud DW Platform Developer,Orsted,junior,-,{'DW': 'junior'},-
Cloud Advisory Consultant all levels,Accenture,mid,-,"{'English': 'master', 'Problem Solving': 'advanced', 'Cloud': 'regular', 'Cloud DevOps': 'regular', 'Information Security': 'nice to have'}",-
Senior DevOps Engineer (Azure),GetInData | Part of Xebia,senior,25200 31080,"{'Azure': 'advanced', 'Kubernetes': 'advanced', 'Python': 'advanced', 'Terraform': 'regular', 'Gitlab CI': 'regular', 'GitHub Actions': 'regular', 'Azure DevOps': 'regular', 'Databricks': 'nice to have'}",-
